STREET,DISTRICT,AREA_M2,ROOMS,PRICE,PROPERTY_CONDITION,COMFORT,ENERGY_USAGE,FLOOR,LIFT,BUILDING_HEIGHT,INNER_HEIGHT,AIR_CONDITIONING,FURNISHED,UTILITIES_EXPENSE,WHEELCHAIR_ACCESSIBLE,ORIENTATION,VIEW,BALCONY,HAS_GARDEN,HAS_ATTIC,HAS_EQUIPMENT,PET,SMOKING,PARKING,PANEL_PROGRAM
 Kapas utca,II,55,2,846.0,5.0,5.0,12,2.0,1.0,5.0,1.0,1,,60.0,1,south,garden,8.0,0.0,0.0,0.0,0.0,,1,
 Victor Hugo utca,XIII,46,1,529.0,4.0,3.0,,3.0,1.0,7.0,1.0,0,2.0,60.0,0,west,garden,4.0,0.0,0.0,1.0,,,0,
 Budafoki ut,XI,98,3,816.0,5.0,3.0,,2.0,0.0,,2.0,0,4.0,0.0,0,,panoramic,0.0,,,1.0,,,,
 Pozsonyi ut,XIII,64,2,936.0,4.0,,,5.0,1.0,5.0,,1,4.0,121.0,1,south-east,panoramic,3.0,0.0,0.0,1.0,0.0,not allowed,0,
 Liliom utca,IX,31,1,393.0,4.0,3.0,,2.0,0.0,3.0,2.0,0,4.0,0.0,0,,,1.0,,0.0,1.0,,,,
 Ferenchegyi ut,II,87,3,783.0,5.0,3.0,,1.0,0.0,4.0,,1,4.0,0.0,0,south-east,,10.0,,,1.0,0.0,,1,
 Vecsey utca,V,87,2,903.0,4.0,,,3.0,1.0,,,0,4.0,0.0,0,,panoramic,0.0,,,,0.0,,,
 Ulaszlo utca,XI,55,2,483.0,5.0,3.0,,3.0,1.0,5.0,1.0,0,1.0,0.0,0,south,garden,5.0,,,1.0,0.0,not allowed,0,
 Katona Jozsef utca,XIII,74,2,785.0,5.0,3.0,,2.0,1.0,6.0,2.0,0,1.0,121.0,0,south,street,0.0,,,1.0,,not allowed,0,
 Szekely Bertalan utca,VI,55,1,408.0,5.0,3.0,,0.0,1.0,4.0,1.0,0,3.0,91.0,0,east,court,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Regi posta utca 11.,V,94,3,1692.0,5.0,3.0,,0.5,,3.0,2.0,0,4.0,0.0,0,,street,0.0,0.0,0.0,1.0,,,,
 Tuzer utca,XIII,67,3,755.0,5.0,,,7.0,1.0,,,0,4.0,0.0,0,,street,0.0,,,1.0,0.0,,0,
 Turoc utca,XIII,50,2,544.0,5.0,3.0,,4.0,1.0,7.0,1.0,1,4.0,76.0,0,east,street,10.0,0.0,0.0,1.0,0.0,not allowed,,
 Hajos utca,VI,129,4,2433.0,5.0,4.0,,7.0,1.0,7.0,,1,4.0,0.0,1,,panoramic,31.0,,1.0,1.0,,,0,
 Retek utca,II,146,5,1631.0,5.0,4.0,,4.0,1.0,5.0,,0,2.0,0.0,0,south,panoramic,0.0,0.0,,1.0,,,0,
 Romer Floris utca,II,56,2,483.0,4.0,3.0,,2.0,0.0,,,0,1.0,45.0,0,,panoramic,3.0,,0.0,1.0,,not allowed,0,
 Baross utca,VIII,78,3,785.0,5.0,3.0,,3.0,1.0,4.0,2.0,1,4.0,76.0,1,,street,0.0,0.0,0.0,1.0,0.0,not allowed,,
 Garda utca,XI,33,1,483.0,6.0,3.0,,2.0,1.0,,1.0,1,1.0,60.0,1,,,0.0,0.0,0.0,1.0,0.0,not allowed,0,
 Madach Imre ter,VII,68,3,559.0,5.0,3.0,,2.0,1.0,6.0,1.0,1,4.0,91.0,1,,street,5.0,0.0,0.0,1.0,0.0,not allowed,,
 Erzsebet korut,VII,73,3,906.0,5.0,,,1.0,1.0,,,0,2.0,0.0,0,,street,0.0,,,1.0,0.0,,,
 Hajos utca 12.,VI,122,3,2644.0,5.0,5.0,,1.0,0.0,3.0,2.0,1,4.0,151.0,0,south-east,panoramic,3.0,0.0,0.0,1.0,0.0,not allowed,0,
